Hostname;Name;RD;Proto;Interface;
Unknown;Name;Default;RD;Protocols;
Unknown;CSC_STEP_TEST;65500:777;ipv4;BD777;
Unknown;CSC_STEP_TEST;65500:777;ipv4;CU_NAME_TEST;
Unknown;EVPN-50;65000:905;ipv4;Lo321;
Unknown;HP_IUM;65000:510;ipv4;BD60;
Unknown;IPTV;65000:90;ipv4;BD1210;
Unknown;IXIA_BGP;65000:100000000;ipv4;BD500;
Unknown;LTE_LTE;65000:803;ipv4;BD2001;
Unknown;LTE_OAM;65000:804;ipv4;BD3001;
Unknown;MGMT;65000:65000100;ipv4;Lo2;
Unknown;MGMT;65000:65000100;ipv4;Mgmt;
Unknown;PWR_MGMT;65000:99;ipv4;BD3501;
Unknown;PWR_MGMT;65000:99;ipv4;STEP_TEST;
Unknown;PWR_MGMT;65000:99;ipv4;STEP_TEST_HSRP;
Unknown;SYSTEM_112_OAM;28840:2001;ipv4;BD4028;
Unknown;SYSTEM_112_RTP;28840:2000;ipv4;BD4029;
Unknown;SYSTEM_112_RTP;28840:2000;ipv4;BD4030;
Unknown;securedvor;65000:1315;ipv4;BD399;
Unknown;securedvor;65000:1315;ipv4;;
Unknown;Name;Default;RD;Protocols;
Unknown;AKBARS-MED;28840:909;ipv4;Vl15;
Unknown;CCTV_AXXON;65000:1314;ipv4;Vl75;
Unknown;CCTV_AXXON;65000:1314;ipv4;Vl721;
Unknown;CENSOR;65000:1600;ipv4;Vl1600;
Unknown;CENSOR;65000:1600;ipv4;CITY;
Unknown;EGE_2015;28840:480;ipv4;Vl2113;
Unknown;FEDKAZ_BASHRTCOMM;28840:1161;ipv4;Vl581;
Unknown;FTTH;65000:306;ipv4;Vl1101;
Unknown;FTTH;65000:306;ipv4;Vl1150;
Unknown;FTTH;65000:306;ipv4;Vl1151;
Unknown;GIBDD;65000:350;ipv4;Vl110;
Unknown;GIBDD;65000:350;ipv4;Vl112;
Unknown;GTS-MGKH;28840:506;ipv4;Vl81;
Unknown;HP_IUM;65000:510;ipv4;Vl51;
Unknown;INET;65000:500;ipv4;Vl3;
Unknown;INET;65000:500;ipv4;Vl9;
Unknown;INET;65000:500;ipv4;Vl13;
Unknown;INET;65000:500;ipv4;Vl32;
Unknown;INET;65000:500;ipv4;Vl34;
Unknown;INET;65000:500;ipv4;Vl36;
Unknown;INET;65000:500;ipv4;Vl60;
Unknown;INET;65000:500;ipv4;Vl83;
Unknown;INET;65000:500;ipv4;Vl84;
Unknown;INET;65000:500;ipv4;Vl132;
Unknown;INET;65000:500;ipv4;Vl142;
Unknown;INET;65000:500;ipv4;Vl315;
Unknown;INET;65000:500;ipv4;Vl4000;
Unknown;INET;65000:500;ipv4;Vl90;
Unknown;INET;65000:500;ipv4;Vl105;
Unknown;INET;65000:500;ipv4;Vl22;
Unknown;INET;65000:500;ipv4;Vl630;
Unknown;INET;65000:500;ipv4;Vl111;
Unknown;INET;65000:500;ipv4;Vl400;
Unknown;INET;65000:500;ipv4;Vl69;
Unknown;INET;65000:500;ipv4;Vl378;
Unknown;INET;65000:500;ipv4;Vl591;
Unknown;INET;65000:500;ipv4;Vl379;
Unknown;INET;65000:500;ipv4;Vl17;
Unknown;IPTV;65000:90;ipv4;Vl801;
Unknown;IPTV;65000:90;ipv4;Vl1201;
Unknown;IPTV;65000:90;ipv4;Vl1220;
Unknown;IPTV;65000:90;ipv4;Vl1202;
Unknown;IPTV;65000:90;ipv4;Vl1206;
Unknown;IPTV;65000:90;ipv4;Vl1215;
Unknown;IPTV;65000:90;ipv4;Vl1236;
Unknown;IPTV;65000:90;ipv4;Vl1237;
Unknown;IPTV;65000:90;ipv4;Vl1238;
Unknown;KSPD;65000:57;ipv4;Vl507;
Unknown;LTE_LTE;65000:803;ipv4;Vl2001;
Unknown;LTE_OAM;65000:804;ipv4;Vl3001;
Unknown;LTE_OAM;65000:804;ipv4;Vl3002;
Unknown;LTE_OAM;65000:804;ipv4;Vl3004;
Unknown;MCHS_GU;65000:676;ipv4;Vl279;
Unknown;MCX_BASHRTCOMM;28840:1165;ipv4;Vl580;
Unknown;MCX_BASHRTCOMM;28840:1165;ipv4;MEHT;
Unknown;MGMT;65000:10;ipv4;Lo2;
Unknown;MGMT;65000:10;ipv4;Vl1;
Unknown;MGMT;65000:10;ipv4;Vl2;
Unknown;MGMT;65000:10;ipv4;Vl888;
Unknown;MGMT;65000:10;ipv4;Vl900;
Unknown;MGMT_Firewall;65000:66;ipv4;Vl606;
Unknown;MONITOR_TLS;28840:511;ipv4;Vl21;
Unknown;NALOG-TBT;28840:600;ipv4;Vl31;
Unknown;NALOG-TBT;28840:600;ipv4;NARINSPEKT;
Unknown;NORTEL_NGN;65000:622;ipv4;Vl372;
Unknown;NORTEL_NGN;65000:622;ipv4;Vl373;
Unknown;NORTEL_NGN;65000:622;ipv4;Vl4004;
Unknown;NORTEL_NGN;65000:622;ipv4;Vl4007;
Unknown;NORTEL_NGN;65000:622;ipv4;Vl4087;
Unknown;NORTEL_OAM;65000:602;ipv4;Vl4003;
Unknown;NORTEL_OAM;65000:602;ipv4;Vl4006;
Unknown;NORTEL_OAM;65000:602;ipv4;Vl4089;
Unknown;PFR;28840:5;ipv4;Vl130;
Unknown;PKD;28840:11;ipv4;Vl66;
Unknown;POCHTA;28840:161;ipv4;Vl380;
Unknown;PWR_MGMT;65000:99;ipv4;Vl3501;
Unknown;ROSNEDVIG;28840:12;ipv4;Vl39;
Unknown;ROSNEDVIG;28840:12;ipv4;Vl70;
Unknown;ROS_GOS;28840:7;ipv4;Vl41;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3400;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3401;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3402;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3403;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3404;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3405;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3406;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3407;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3408;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3409;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3410;
Unknown;RTK-UCN-MGMT;28840:1017;ipv4;Vl3411;
Unknown;Rosselhoz;28840:533;ipv4;Vl14;
Unknown;Rosselhoz;28840:533;ipv4;Vl108;
Unknown;Rosselhoz;28840:533;ipv4;Vl109;
Unknown;SB-RT-1;28840:101;ipv4;Vl67;
Unknown;SB-RT-1;28840:101;ipv4;Vl85;
Unknown;SB-RT-1;28840:101;ipv4;Vl87;
Unknown;SB-RT-2;65000:126;ipv4;Vl107;
Unknown;SBERBANK;65000:420;ipv4;Vl310;
Unknown;SIP_ADSL;65000:637;ipv4;Vl1401;
Unknown;SIP_ADSL;65000:637;ipv4;Vl1402;
Unknown;SIP_ADSL;65000:637;ipv4;Vl1403;
Unknown;SIP_ADSL;65000:637;ipv4;Vl1404;
Unknown;SIP_ADSL;65000:637;ipv4;Vl1405;
Unknown;SIP_ADSL;65000:637;ipv4;Vl1406;
Unknown;SUD_TLC;28840:1244;ipv4;Vl586;
Unknown;SYSTEM_112_OAM;28840:2001;ipv4;Vl4028;
Unknown;SYSTEM_112_RTP;28840:2000;ipv4;Vl4029;
Unknown;SYSTEM_112_RTP;28840:2000;ipv4;Vl2105;
Unknown;SZO;28840:555;ipv4;Vl450;
Unknown;SZO;28840:555;ipv4;Vl451;
Unknown;SZO;28840:555;ipv4;Vl452;
Unknown;SZO;28840:555;ipv4;Vl453;
Unknown;SZO;28840:555;ipv4;Vl454;
Unknown;SZO;28840:555;ipv4;Vl455;
Unknown;SZO;28840:555;ipv4;Vl456;
Unknown;SZO;28840:555;ipv4;Vl457;
Unknown;SZO;28840:555;ipv4;Vl458;
Unknown;SZO;28840:555;ipv4;Vl459;
Unknown;SZO;28840:555;ipv4;Vl460;
Unknown;SZO;28840:555;ipv4;Vl461;
Unknown;SZO;28840:555;ipv4;Vl462;
Unknown;SZO;28840:555;ipv4;Vl463;
Unknown;SZO;28840:555;ipv4;Vl464;
Unknown;TATARINFORM;28840:143;ipv4;Vl131;
Unknown;TATARINFORM;28840:143;ipv4;TATENERGO_CHELNY;
Unknown;TATENERGO_EES;28840:1107;ipv4;Vl10;
Unknown;TATENERGO_EOESB;28840:1108;ipv4;Vl11;
Unknown;TATMVDCAMERA;28840:893;ipv4;Vl583;
Unknown;TATMVDCAMERA;28840:893;ipv4;Vl584;
Unknown;TATMVDCAMERA;28840:893;ipv4;Vl744;
Unknown;TATMVDCAMERA;28840:893;ipv4;Vl745;
Unknown;TATMVDCAMERA;28840:893;ipv4;Vl743;
Unknown;TATSPIRTPROM;28840:112;ipv4;Vl12;
Unknown;TATTRANSGAZ;28840:113;ipv4;Vl313;
Unknown;TELEGRAF;28840:613;ipv4;Vl156;
Unknown;TR69;65000:69;ipv4;Vl1301;
Unknown;TR69;65000:69;ipv4;Vl1302;
Unknown;TR69;65000:69;ipv4;Vl1303;
Unknown;TR69;65000:69;ipv4;Vl1304;
Unknown;TR69;65000:69;ipv4;Vl1305;
Unknown;TR69;65000:69;ipv4;Vl1306;
Unknown;UFSIN;28840:164;ipv4;Vl255;
Unknown;VAMIN;65000:155;ipv4;Vl180;
Unknown;VAMIN;65000:155;ipv4;Vl181;
Unknown;WAP;65000:100;ipv4;Vl975;
Unknown;WEB_UIK;28840:146;ipv4;Vl317;
Unknown;WEB_UIK;28840:146;ipv4;Vl318;
Unknown;WEB_UIK;28840:146;ipv4;Vl320;
Unknown;WEB_UIK;28840:146;ipv4;Vl321;
Unknown;WEB_UIK;28840:146;ipv4;Vl322;
Unknown;WEB_UIK;28840:146;ipv4;Vl323;
Unknown;WEB_UIK;28840:146;ipv4;Vl324;
Unknown;WEB_UIK;28840:146;ipv4;Vl325;
Unknown;WEB_UIK;28840:146;ipv4;Vl326;
Unknown;WEB_UIK;28840:146;ipv4;Vl327;
Unknown;WEB_UIK;28840:146;ipv4;Vl328;
Unknown;WEB_UIK;28840:146;ipv4;Vl329;
Unknown;WEB_UIK;28840:146;ipv4;Vl330;
Unknown;WEB_UIK;28840:146;ipv4;Vl331;
Unknown;WEB_UIK;28840:146;ipv4;Vl332;
Unknown;WEB_UIK;28840:146;ipv4;Vl333;
Unknown;WEB_UIK;28840:146;ipv4;Vl334;
Unknown;WEB_UIK;28840:146;ipv4;Vl335;
Unknown;WEB_UIK;28840:146;ipv4;Vl336;
Unknown;WEB_UIK;28840:146;ipv4;Vl337;
Unknown;WEB_UIK;28840:146;ipv4;Vl338;
Unknown;WEB_UIK;28840:146;ipv4;Vl339;
Unknown;WEB_UIK;28840:146;ipv4;Vl340;
Unknown;WEB_UIK;28840:146;ipv4;Vl341;
Unknown;WEB_UIK;28840:146;ipv4;Vl342;
Unknown;WEB_UIK;28840:146;ipv4;Vl343;
Unknown;WEB_UIK;28840:146;ipv4;Vl344;
Unknown;WEB_UIK;28840:146;ipv4;Vl610;
Unknown;WUS;65000:300;ipv4;Vl1501;
Unknown;WUS;65000:300;ipv4;Vl1502;
Unknown;WUS;65000:300;ipv4;Vl1503;
Unknown;WUS;65000:300;ipv4;Vl1504;
Unknown;WUS;65000:300;ipv4;Vl1505;
Unknown;WUS;65000:300;ipv4;Vl1506;
Unknown;WUS;65000:300;ipv4;Vl104;
Unknown;Wifi-Street;65000:690;ipv4;Vl905;
Unknown;fed_kaz;28840:604;ipv4;Vl82;
Unknown;izbirkom;28840:156;ipv4;Vl135;
Unknown;izbirkom;28840:156;ipv4;kspd_local;
Unknown;m_Zelax;65000:901;ipv4;Vl901;
Unknown;mvd;65000:582;ipv4;Vl582;
Unknown;mvd;65000:582;ipv4;Vl275;
Unknown;mvd;65000:582;ipv4;Vl213;
Unknown;mvd;65000:582;ipv4;;
